縣市,鄉鎮市區,號次,總統/副總統,得票數,得票率%
花蓮縣,花蓮市,3,蔡英文/賴清德,23372,39.2339
新竹縣,竹北市,2,韓國瑜/張善政,42591,40.1578
新竹縣,竹北市,3,蔡英文/賴清德,56892,53.6418
桃園市,桃園區,1,宋楚瑜/余湘,12661,4.8320
桃園市,桃園區,2,韓國瑜/張善政,102460,39.1031
桃園市,桃園區,3,蔡英文/賴清德,146904,56.0649
桃園市,蘆竹區,1,宋楚瑜/余湘,4593,4.8973
桃園市,蘆竹區,2,韓國瑜/張善政,33227,35.4282
桃園市,蘆竹區,3,蔡英文/賴清德,55967,59.6746
桃園市,觀音區,1,宋楚瑜/余湘,1913,4.8609
桃園市,觀音區,2,韓國瑜/張善政,12106,30.7610
桃園市,觀音區,3,蔡英文/賴清德,25336,64.3781
桃園市,復興區,1,宋楚瑜/余湘,233,3.6902
桃園市,復興區,2,韓國瑜/張善政,4043,64.0323
桃園市,復興區,3,蔡英文/賴清德,2038,32.2775
新竹縣,湖口鄉,1,宋楚瑜/余湘,2630,5.8532
新竹縣,湖口鄉,2,韓國瑜/張善政,22354,49.7496
新竹縣,湖口鄉,3,蔡英文/賴清德,19949,44.3972
桃園市,新屋區,1,宋楚瑜/余湘,1392,4.5313
桃園市,新屋區,2,韓國瑜/張善政,10891,35.4525
桃園市,新屋區,3,蔡英文/賴清德,18437,60.0163
新竹縣,五峰鄉,1,宋楚瑜/余湘,93,3.6286
新竹縣,五峰鄉,2,韓國瑜/張善政,1882,73.4296
新竹縣,五峰鄉,3,蔡英文/賴清德,588,22.9419
新竹縣,芎林鄉,1,宋楚瑜/余湘,712,5.6245
新竹縣,芎林鄉,2,韓國瑜/張善政,6554,51.7734
新竹縣,芎林鄉,3,蔡英文/賴清德,5393,42.6021
苗栗縣,苗栗市,1,宋楚瑜/余湘,2366,4.4415
苗栗縣,苗栗市,2,韓國瑜/張善政,30335,56.9457
苗栗縣,苗栗市,3,蔡英文/賴清德,20569,38.6127
新竹縣,關西鎮,1,宋楚瑜/余湘,772,4.4213
新竹縣,關西鎮,2,韓國瑜/張善政,9016,51.6351
新竹縣,關西鎮,3,蔡英文/賴清德,7673,43.9436
新竹縣,新埔鎮,1,宋楚瑜/余湘,993,4.8155
新竹縣,新埔鎮,2,韓國瑜/張善政,9446,45.8077
新竹縣,新埔鎮,3,蔡英文/賴清德,10182,49.3768
新竹縣,峨眉鄉,1,宋楚瑜/余湘,144,3.9790
新竹縣,北埔鄉,1,宋楚瑜/余湘,287,4.9228
新竹縣,北埔鄉,2,韓國瑜/張善政,3220,55.2316
新竹縣,北埔鄉,3,蔡英文/賴清德,2323,39.8456
新竹縣,峨眉鄉,2,韓國瑜/張善政,1882,52.0033
新竹縣,峨眉鄉,3,蔡英文/賴清德,1593,44.0177
新竹縣,橫山鄉,1,宋楚瑜/余湘,389,4.8042
新竹縣,橫山鄉,2,韓國瑜/張善政,4685,57.8609
新竹縣,橫山鄉,3,蔡英文/賴清德,3023,37.3348
新竹縣,寶山鄉,1,宋楚瑜/余湘,563,5.9830
桃園市,龜山區,1,宋楚瑜/余湘,4810,5.0681
新竹縣,寶山鄉,2,韓國瑜/張善政,4594,48.8204
桃園市,龜山區,2,韓國瑜/張善政,35968,37.8978
桃園市,龜山區,3,蔡英文/賴清德,54130,57.0342
新竹縣,寶山鄉,3,蔡英文/賴清德,4253,45.1966
新竹縣,新豐鄉,1,宋楚瑜/余湘,1866,5.7303
新竹縣,新豐鄉,2,韓國瑜/張善政,14817,45.5012
新竹縣,新豐鄉,3,蔡英文/賴清德,15881,48.7686
新竹縣,尖石鄉,1,宋楚瑜/余湘,208,4.4406
新竹縣,尖石鄉,2,韓國瑜/張善政,3291,70.2605
新竹縣,尖石鄉,3,蔡英文/賴清德,1185,25.2989
苗栗縣,後龍鎮,1,宋楚瑜/余湘,851,4.0796
苗栗縣,後龍鎮,2,韓國瑜/張善政,9175,43.9837
苗栗縣,後龍鎮,3,蔡英文/賴清德,10834,51.9367
苗栗縣,造橋鄉,1,宋楚瑜/余湘,368,4.7527
苗栗縣,造橋鄉,2,韓國瑜/張善政,4180,53.9842
苗栗縣,造橋鄉,3,蔡英文/賴清德,3195,41.2631
苗栗縣,三灣鄉,1,宋楚瑜/余湘,179,4.2905
苗栗縣,三灣鄉,2,韓國瑜/張善政,2473,59.2761
苗栗縣,三灣鄉,3,蔡英文/賴清德,1520,36.4334
新竹縣,竹東鎮,1,宋楚瑜/余湘,3202,5.6633
新竹縣,竹東鎮,2,韓國瑜/張善政,29892,52.8697
新竹縣,竹東鎮,3,蔡英文/賴清德,23445,41.4670
苗栗縣,大湖鄉,1,宋楚瑜/余湘,298,3.5059
苗栗縣,大湖鄉,2,韓國瑜/張善政,5103,60.0353
苗栗縣,大湖鄉,3,蔡英文/賴清德,3099,36.4588
苗栗縣,頭屋鄉,1,宋楚瑜/余湘,278,4.0937
苗栗縣,頭屋鄉,2,韓國瑜/張善政,3971,58.4745
苗栗縣,頭屋鄉,3,蔡英文/賴清德,2542,37.4319
苗栗縣,泰安鄉,1,宋楚瑜/余湘,102,2.8200
